material_type,moisture_resistance_score,thermal_resistance_score,Load Handling Score,CO2 Emission per kg (estimated),Biodegradation Time (days),Reusability (%),Recyclability Category,supplier_sustainability_compliance_pct,Waste Reduction Impact (%),Sustainability Target Progress (%),Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),CII,CEI,MSS
Steel,9.0,9.0,8.0,3.09,113063.0,97.0,High,84.0,83.0,73.0,24.22,23853.0,5010.0,0.48488626118650835,0.0582750582750583,93.39339339339341
Cardboard,3.0,4.0,6.0,0.51,230.0,50.0,High,83.0,62.0,85.0,3.07,98791.0,732.0,50.43223705799894,6.080347448425625,42.64264264264265
Paper/Bio-Based,3.0,3.0,3.0,0.3,165.0,30.0,High,79.0,67.0,95.0,2.4,72166.0,569.0,92.24813140028516,8.005536130536132,32.732732732732735
Plastic,7.0,7.0,8.0,1.42,86202.0,88.0,Medium,94.0,75.0,81.0,12.02,60655.0,1239.0,12.065850148274656,0.9454910037272768,79.57957957957959
Plastic,9.0,7.0,8.0,1.57,60573.0,8.0,Medium,70.0,32.0,60.0,1.26,30357.0,211.0,10.018729239799221,15.98679098679099,7.507507507507512
Plastic,7.0,6.0,8.0,1.45,22097.0,96.0,Medium,86.0,80.0,86.0,14.65,49673.0,995.0,11.623534275018645,0.62929107297708,86.48648648648648
Paper/Bio-Based,2.0,3.0,1.0,0.28,141.0,31.0,High,85.0,68.0,91.0,1.6,73892.0,525.0,99.52425759872679,12.416229603729604,33.033033033033036
Cardboard,5.0,4.0,4.0,0.51,332.0,51.0,High,84.0,59.0,86.0,2.94,102220.0,740.0,50.391592147906096,6.385281385281386,43.24324324324325
Cardboard,5.0,3.0,6.0,0.5,152.0,47.0,High,86.0,60.0,86.0,3.06,99778.0,745.0,51.69337618455656,6.102884044060515,40.54054054054054
Plastic,7.0,6.0,9.0,1.4,33525.0,96.0,Medium,97.0,81.0,87.0,15.74,52785.0,1053.0,12.372520430968361,0.5292145381090745,87.0870870870871
Cardboard,3.0,5.0,6.0,0.52,242.0,52.0,High,88.0,63.0,93.0,3.14,103063.0,782.0,49.278320425658656,5.926610544444939,45.34534534534536
Plastic,7.0,7.0,7.0,1.48,41490.0,88.0,Medium,86.0,74.0,84.0,12.7,60528.0,1117.0,11.19752397423807,0.851182937797111,78.978978978979
Plastic,7.0,7.0,9.0,1.4,42939.0,93.0,Medium,98.0,77.0,88.0,14.61,48925.0,1033.0,12.372321443651227,0.6332476558349247,83.7837837837838
Cardboard,4.0,5.0,6.0,0.52,275.0,48.0,High,92.0,65.0,88.0,3.18,100778.0,819.0,49.2632322130447,5.8417997097242385,45.04504504504505
Steel,9.0,9.0,9.0,3.13,99557.0,97.0,High,94.0,83.0,73.0,25.68,19707.0,5063.0,0.35907976303078293,0.008577870727403347,93.39339339339341
Plastic,8.0,6.0,7.0,1.6,64044.0,8.0,Medium,70.0,33.0,60.0,1.26,30357.0,211.0,9.655311543732946,15.98679098679099,6.306306306306304
Cardboard,5.0,4.0,5.0,0.51,153.0,53.0,High,86.0,62.0,84.0,2.83,101569.0,765.0,50.49881699402441,6.665184050343061,46.246246246246265
Plastic,9.0,7.0,9.0,1.37,28329.0,96.0,Medium,95.0,79.0,85.0,15.75,47124.0,1030.0,12.848618531236664,0.5283605283605284,88.5885885885886
Plastic,7.0,6.0,7.0,1.48,30911.0,95.0,Medium,95.0,81.0,86.0,14.68,52156.0,1010.0,11.197774966332364,0.6263377857383308,86.48648648648648
Plastic,9.0,6.0,9.0,1.48,40250.0,94.0,Medium,96.0,74.0,78.0,11.84,60648.0,1118.0,11.19754656777799,0.9722681597681597,83.4834834834835
Paper/Bio-Based,2.0,3.0,2.0,0.29,104.0,31.0,High,79.0,66.0,91.0,1.96,75069.0,637.0,95.8537550762181,9.985847485847488,31.831831831831842
Cardboard,3.0,3.0,5.0,0.53,209.0,49.0,High,86.0,61.0,90.0,3.06,99778.0,745.0,48.194113270297116,6.102884044060515,40.540540540540555
Plastic,8.0,6.0,7.0,1.53,33525.0,93.0,Medium,93.0,82.0,90.0,15.74,52785.0,1083.0,10.525822761987364,0.5292145381090745,86.78678678678679
Plastic,8.0,8.0,9.0,1.48,35850.0,87.0,Medium,89.0,79.0,83.0,11.55,59371.0,1147.0,11.197639351020747,1.0171646535282899,83.18318318318319
Steel,9.0,9.0,8.0,2.83,103598.0,99.0,High,90.0,85.0,76.0,24.62,21703.0,5063.0,1.3896020121370487,0.04407317567350055,95.79579579579581
Plastic,9.0,6.0,8.0,1.45,76964.0,94.0,Medium,92.0,78.0,82.0,14.65,49673.0,998.0,11.622552612558945,0.62929107297708,85.8858858858859
Plastic,7.0,6.0,7.0,1.48,40050.0,96.0,Medium,96.0,81.0,90.0,15.25,50106.0,1088.0,11.197550342921847,0.572433031449425,87.0870870870871
Plastic,7.0,7.0,8.0,1.52,74533.0,12.0,Medium,67.0,28.0,59.0,1.5,30291.0,257.0,10.656162294893118,13.298368298368299,5.705705705705711
Cardboard,4.0,4.0,6.0,0.54,252.0,48.0,High,85.0,64.0,91.0,2.78,100650.0,782.0,47.10610191755034,6.79973503714511,43.54354354354356
Plastic,9.0,6.0,8.0,1.46,52150.0,86.0,Medium,90.0,79.0,83.0,12.72,59942.0,1268.0,11.47900952711744,0.8485618155429475,81.68168168168168
Steel,10.0,9.0,8.0,3.13,157790.0,98.0,High,91.0,83.0,72.0,24.33,20573.0,4938.0,0.3589669680428802,0.05432298897157106,94.89489489489492
Cardboard,3.0,3.0,4.0,0.52,332.0,51.0,High,84.0,65.0,86.0,2.94,102220.0,740.0,49.24423560800666,6.385281385281386,44.14414414414414
Paper/Bio-Based,3.0,4.0,2.0,0.3,179.0,34.0,High,78.0,69.0,96.0,2.5,76742.0,674.0,92.23370815545246,7.652680652680655,37.237237237237245
Plastic,7.0,6.0,9.0,1.47,33532.0,93.0,Medium,97.0,80.0,91.0,14.4,51174.0,959.0,11.337557811629338,0.654380341880342,84.6846846846847
Cardboard,3.0,3.0,5.0,0.47,355.0,47.0,High,91.0,59.0,90.0,3.05,102073.0,901.0,55.46331722704458,6.125568420650389,38.13813813813814
Plastic,8.0,7.0,9.0,1.57,31940.0,95.0,Medium,89.0,80.0,86.0,14.41,47587.0,975.0,10.019179563467258,0.6533600565522841,87.68768768768768
Plastic,8.0,7.0,8.0,1.52,69350.0,89.0,Medium,90.0,78.0,83.0,11.28,62593.0,1284.0,10.656192806006544,1.0610400238059814,82.88288288288291
Cardboard,4.0,4.0,4.0,0.5,230.0,51.0,High,83.0,62.0,85.0,3.07,98791.0,732.0,51.62548785949436,6.080347448425625,44.14414414414414
Cardboard,3.0,3.0,4.0,0.53,157.0,47.0,High,90.0,58.0,90.0,2.77,100871.0,847.0,48.24233350504502,6.8272281268671176,37.53753753753754
Plastic,9.0,7.0,9.0,1.44,40031.0,96.0,Medium,98.0,79.0,83.0,14.59,44696.0,1041.0,11.768644837121133,0.6352340828009093,88.5885885885886
Plastic,8.0,8.0,8.0,1.46,46640.0,94.0,Medium,88.0,75.0,75.0,11.69,54650.0,1189.0,11.479078457495355,0.9952123724578814,84.984984984985
Plastic,7.0,6.0,9.0,1.45,41427.0,97.0,Medium,97.0,82.0,87.0,15.76,48866.0,1053.0,11.622891754547421,0.5275076023806988,88.2882882882883
Plastic,9.0,6.0,8.0,1.57,65985.0,12.0,Medium,69.0,32.0,63.0,1.86,30397.0,298.0,10.018688039022962,10.566583953680729,9.009009009009013
Plastic,8.0,7.0,9.0,1.43,60408.0,92.0,Medium,88.0,76.0,77.0,12.01,57077.0,1087.0,11.916154050193366,0.9469575664413301,83.4834834834835
Steel,10.0,10.0,8.0,3.13,90587.0,98.0,High,93.0,83.0,76.0,25.43,21272.0,4976.0,0.3591100270552694,0.016682753607645373,95.79579579579581
Plastic,7.0,7.0,7.0,1.42,25270.0,99.0,Medium,95.0,80.0,82.0,14.28,48512.0,1065.0,12.066701276052353,0.6667352255587551,89.1891891891892
Cardboard,4.0,4.0,5.0,0.51,154.0,48.0,High,85.0,60.0,91.0,2.98,103323.0,737.0,50.4975255970531,6.28862189264874,41.14114114114114
Paper/Bio-Based,2.0,3.0,3.0,0.3,104.0,32.0,High,84.0,64.0,95.0,1.83,78051.0,715.0,92.35629583045568,10.753181244984525,31.23123123123124
Cardboard,4.0,4.0,5.0,0.51,201.0,50.0,High,85.0,61.0,90.0,2.6,99953.0,717.0,50.451324424810664,7.326967903890981,42.942942942942956
Plastic,8.0,8.0,7.0,1.38,50911.0,89.0,Medium,90.0,77.0,82.0,11.34,60692.0,1224.0,12.68719904691189,1.0511093844427177,83.18318318318319
Plastic,9.0,7.0,7.0,1.52,29304.0,93.0,Medium,93.0,79.0,83.0,15.11,51095.0,966.0,10.656792400570982,0.5852960187837752,86.78678678678679
Cardboard,4.0,4.0,5.0,0.5,211.0,44.0,High,93.0,61.0,89.0,3.77,98647.0,753.0,51.63740069718908,4.799886232246976,39.339339339339354
Plastic,7.0,7.0,8.0,1.52,32911.0,97.0,Medium,100.0,80.0,90.0,14.55,46054.0,1003.0,10.656678598524145,0.6392233196356907,87.98798798798799
Paper/Bio-Based,2.0,3.0,2.0,0.3,141.0,30.0,High,85.0,65.0,93.0,1.6,73892.0,525.0,92.27952058964752,12.416229603729604,30.630630630630634
Plastic,7.0,7.0,8.0,1.46,25244.0,96.0,Medium,86.0,78.0,82.0,14.41,49673.0,995.0,11.479631409951079,0.6533600565522841,86.1861861861862
Cardboard,4.0,4.0,5.0,0.48,197.0,50.0,High,87.0,59.0,83.0,3.87,96646.0,743.0,54.183306937136,4.654776747800003,41.741741741741755
Cardboard,4.0,4.0,4.0,0.5,252.0,48.0,High,85.0,64.0,91.0,2.78,100650.0,782.0,51.61393827875524,6.79973503714511,43.54354354354356
Plastic,9.0,7.0,9.0,1.47,37036.0,87.0,Medium,96.0,72.0,83.0,12.72,57467.0,1176.0,11.337471959221546,0.8485618155429475,78.978978978979
Paper/Bio-Based,2.0,3.0,1.0,0.29,122.0,33.0,High,85.0,68.0,91.0,2.02,77375.0,549.0,95.81058813754484,9.665004962034667,34.23423423423424
Cardboard,3.0,4.0,5.0,0.5,154.0,50.0,High,86.0,60.0,90.0,3.22,96860.0,862.0,51.690776398548515,5.759095976487281,41.44144144144145
Plastic,7.0,6.0,9.0,1.4,31602.0,12.0,Medium,70.0,30.0,56.0,1.42,31018.0,171.0,12.372575660052846,14.093535572408815,6.006006006006011
Plastic,9.0,7.0,9.0,1.47,52407.0,87.0,Medium,97.0,75.0,81.0,12.45,56902.0,1222.0,11.337230990505965,0.8846575111635353,80.78078078078079
Cardboard,3.0,5.0,5.0,0.5,275.0,49.0,High,92.0,65.0,89.0,3.18,100778.0,819.0,51.60383955443955,5.8417997097242385,44.74474474474476
Cardboard,5.0,4.0,5.0,0.49,230.0,50.0,High,83.0,60.0,85.0,3.07,98791.0,732.0,52.86744277533653,6.080347448425625,43.24324324324325
Plastic,7.0,7.0,9.0,1.52,42997.0,99.0,Medium,86.0,76.0,82.0,14.94,48860.0,978.0,10.656461722448775,0.6012394566611434,86.78678678678679
Steel,9.0,10.0,9.0,3.02,99557.0,97.0,High,94.0,83.0,73.0,25.68,19707.0,5063.0,0.7131694841863006,0.008577870727403347,94.2942942942943
Cardboard,4.0,4.0,5.0,0.5,250.0,48.0,High,87.0,61.0,90.0,3.39,100328.0,741.0,51.61490424368979,5.429378880706315,41.741741741741755
Paper/Bio-Based,2.0,3.0,2.0,0.29,133.0,29.0,High,82.0,66.0,98.0,1.76,75226.0,663.0,95.78996032725152,11.213313201949568,30.630630630630634
Plastic,9.0,8.0,7.0,1.48,52150.0,86.0,Medium,90.0,77.0,78.0,12.72,59942.0,1268.0,11.19737406397293,0.8485618155429475,82.28228228228227
Plastic,8.0,6.0,7.0,1.52,74533.0,12.0,Medium,67.0,32.0,60.0,1.5,30291.0,257.0,10.656162294893118,13.298368298368299,8.108108108108105
Cardboard,3.0,4.0,6.0,0.53,201.0,50.0,High,85.0,60.0,89.0,2.6,99953.0,717.0,48.19990781821554,7.326967903890981,41.44144144144145
Plastic,8.0,7.0,8.0,1.56,25270.0,96.0,Medium,95.0,76.0,82.0,14.28,48512.0,1065.0,10.14366707537583,0.6667352255587551,85.8858858858859
Cardboard,4.0,5.0,6.0,0.5,169.0,46.0,High,90.0,58.0,87.0,2.82,96624.0,825.0,51.67323938050609,6.691712542776374,39.63963963963965
Cardboard,4.0,4.0,5.0,0.53,242.0,52.0,High,88.0,60.0,90.0,3.14,103063.0,782.0,48.174260358962975,5.926610544444939,43.54354354354354
Plastic,9.0,6.0,9.0,1.52,40250.0,94.0,Medium,96.0,79.0,78.0,11.84,60648.0,1118.0,10.656510020158272,0.9722681597681597,86.48648648648648
Plastic,7.0,7.0,7.0,1.46,31940.0,95.0,Medium,89.0,83.0,86.0,14.41,47587.0,975.0,11.479378716331158,0.6533600565522841,88.58858858858858
Plastic,7.0,7.0,8.0,1.43,33525.0,93.0,Medium,97.0,80.0,90.0,15.74,52785.0,1053.0,11.916557961865468,0.5292145381090745,85.58558558558559
Cardboard,4.0,4.0,5.0,0.5,291.0,53.0,High,85.0,59.0,93.0,2.81,97201.0,880.0,51.59775587650129,6.718429850102449,43.54354354354356
Cardboard,3.0,4.0,5.0,0.53,332.0,51.0,High,84.0,60.0,86.0,2.94,102220.0,740.0,48.140175541310974,6.385281385281386,42.04204204204205
Steel,9.0,8.0,8.0,3.15,90587.0,97.0,High,93.0,83.0,76.0,25.43,21272.0,4976.0,0.29738702804287875,0.016682753607645373,92.49249249249252
Paper/Bio-Based,3.0,3.0,3.0,0.29,171.0,36.0,High,78.0,67.0,91.0,1.23,76655.0,523.0,95.73912006753869,16.39661151856274,36.33633633633634
Plastic,7.0,6.0,9.0,1.52,76964.0,94.0,Medium,92.0,75.0,82.0,14.65,49673.0,998.0,10.656149399914067,0.62929107297708,82.2822822822823
Plastic,8.0,8.0,9.0,1.41,35850.0,87.0,Medium,89.0,74.0,83.0,11.55,59371.0,1147.0,12.218318228090574,1.0171646535282899,80.18018018018017
Plastic,7.0,7.0,8.0,1.48,31602.0,12.0,Medium,70.0,31.0,56.0,1.42,31018.0,171.0,11.197753442364313,14.093535572408815,7.507507507507512
Plastic,7.0,6.0,8.0,1.53,40050.0,96.0,Medium,96.0,79.0,90.0,15.25,50106.0,1088.0,10.525674891629386,0.572433031449425,85.8858858858859
Steel,10.0,10.0,9.0,2.8,157790.0,98.0,High,91.0,85.0,73.0,24.33,20573.0,4938.0,1.5047001372103743,0.05432298897157106,96.99699699699701
Cardboard,4.0,5.0,4.0,0.48,250.0,48.0,High,87.0,61.0,90.0,3.39,100328.0,741.0,54.15056219686755,5.429378880706315,42.64264264264265
Paper/Bio-Based,3.0,2.0,1.0,0.3,133.0,29.0,High,82.0,66.0,98.0,1.76,75226.0,663.0,92.29250108148909,11.213313201949568,30.630630630630634
Plastic,8.0,7.0,8.0,1.38,42997.0,99.0,Medium,86.0,80.0,82.0,14.94,48860.0,978.0,12.687309053369173,0.6012394566611434,90.09009009009009
Cardboard,3.0,4.0,6.0,0.49,157.0,47.0,High,90.0,61.0,90.0,2.77,100871.0,847.0,52.92895582897773,6.8272281268671176,40.24024024024025
Plastic,8.0,6.0,7.0,1.44,33532.0,97.0,Medium,97.0,79.0,91.0,14.4,51174.0,959.0,11.76879215740787,0.654380341880342,87.3873873873874
Plastic,7.0,7.0,8.0,1.56,10935.0,92.0,Medium,91.0,76.0,81.0,12.59,62098.0,1250.0,10.145245578999358,0.8657479666216761,82.5825825825826
Cardboard,4.0,4.0,5.0,0.5,332.0,51.0,High,84.0,60.0,86.0,2.94,102220.0,740.0,51.58484294940151,6.385281385281386,42.942942942942956
Plastic,7.0,6.0,9.0,1.5,30911.0,95.0,Medium,95.0,81.0,85.0,14.68,52156.0,1010.0,10.923649782205036,0.6263377857383308,86.48648648648648
Paper/Bio-Based,3.0,2.0,2.0,0.31,104.0,31.0,High,79.0,66.0,91.0,1.96,75069.0,637.0,89.08447911667793,9.985847485847488,31.831831831831842
Cardboard,5.0,4.0,5.0,0.53,154.0,48.0,High,86.0,59.0,90.0,3.22,96860.0,862.0,48.24610899045798,5.759095976487281,41.44144144144145
Plastic,7.0,7.0,9.0,1.44,64044.0,8.0,Medium,72.0,32.0,60.0,1.18,27055.0,315.0,11.76835983804774,17.1259531429023,5.705705705705711
Plastic,7.0,7.0,8.0,1.42,25244.0,96.0,Medium,86.0,80.0,82.0,14.41,49673.0,995.0,12.066702516224147,0.6533600565522841,87.3873873873874
Cardboard,3.0,5.0,6.0,0.53,242.0,52.0,High,88.0,63.0,93.0,3.14,103063.0,782.0,48.174260358962975,5.926610544444939,45.34534534534536
Plastic,9.0,8.0,7.0,1.46,69350.0,89.0,Medium,90.0,72.0,83.0,11.28,62593.0,1284.0,11.478864816770773,1.0610400238059814,81.08108108108107
Paper/Bio-Based,3.0,3.0,3.0,0.3,141.0,30.0,High,85.0,65.0,93.0,1.6,73892.0,525.0,92.27952058964752,12.416229603729604,31.531531531531535
Cardboard,3.0,4.0,6.0,0.51,154.0,48.0,High,86.0,60.0,90.0,3.22,96860.0,862.0,50.4975255970531,5.759095976487281,40.24024024024025
Plastic,8.0,8.0,9.0,1.42,52150.0,86.0,Medium,90.0,76.0,78.0,12.72,59942.0,1268.0,12.06608063339051,0.8485618155429475,80.78078078078079
Plastic,7.0,7.0,8.0,1.52,33525.0,93.0,Medium,97.0,79.0,90.0,15.74,52785.0,1053.0,10.656661665660106,0.5292145381090745,84.984984984985
Steel,9.0,9.0,9.0,2.97,103598.0,99.0,High,90.0,85.0,76.0,24.62,21703.0,5063.0,0.8827781359977234,0.04407317567350055,95.79579579579581
Cardboard,4.0,5.0,6.0,0.51,197.0,50.0,High,87.0,61.0,83.0,3.87,96646.0,743.0,50.45439818246282,4.654776747800003,43.84384384384385
Plastic,9.0,7.0,9.0,1.5,46640.0,94.0,Medium,88.0,74.0,75.0,11.69,54650.0,1189.0,10.923317810223516,0.9952123724578814,84.38438438438442
Plastic,7.0,6.0,7.0,1.52,42997.0,99.0,Medium,86.0,78.0,82.0,14.94,48860.0,978.0,10.656461722448775,0.6012394566611434,87.0870870870871
Cardboard,3.0,4.0,5.0,0.52,169.0,46.0,High,90.0,61.0,87.0,2.82,96624.0,825.0,49.33263203911124,6.691712542776374,39.63963963963965
Cardboard,4.0,4.0,5.0,0.5,153.0,53.0,High,86.0,60.0,84.0,2.83,101569.0,765.0,51.692067795519826,6.665184050343061,44.14414414414414
Plastic,8.0,7.0,8.0,1.48,35850.0,87.0,Medium,89.0,79.0,83.0,11.55,59371.0,1147.0,11.197639351020747,1.0171646535282899,82.2822822822823
Plastic,8.0,7.0,7.0,1.52,40050.0,96.0,Medium,96.0,79.0,90.0,15.25,50106.0,1088.0,10.656513795302128,0.572433031449425,87.68768768768768
Cardboard,4.0,4.0,5.0,0.51,209.0,50.0,High,86.0,64.0,91.0,3.06,99778.0,745.0,50.44552987689224,6.102884044060515,44.74474474474476
Plastic,7.0,7.0,8.0,1.55,60408.0,92.0,Medium,88.0,75.0,77.0,12.01,57077.0,1087.0,10.26880577472485,0.9469575664413301,81.98198198198199
Plastic,7.0,6.0,9.0,1.41,25244.0,96.0,Medium,86.0,78.0,82.0,14.41,49673.0,995.0,12.218674823876395,0.6533600565522841,85.28528528528531
Steel,10.0,9.0,8.0,3.02,157790.0,98.0,High,91.0,83.0,72.0,24.33,20573.0,4938.0,0.7130566891983978,0.05432298897157106,94.89489489489492
Cardboard,4.0,5.0,4.0,0.5,197.0,50.0,High,87.0,59.0,83.0,3.87,96646.0,743.0,51.64764898395824,4.654776747800003,42.64264264264265
Plastic,7.0,6.0,7.0,1.55,30911.0,95.0,Medium,95.0,81.0,85.0,14.68,52156.0,1010.0,10.269286439449488,0.6263377857383308,86.48648648648648
Cardboard,4.0,4.0,6.0,0.51,291.0,53.0,High,85.0,60.0,93.0,2.81,97201.0,880.0,50.40450507500587,6.718429850102449,44.14414414414414
Plastic,9.0,8.0,8.0,1.52,52407.0,87.0,Medium,97.0,78.0,81.0,12.45,56902.0,1222.0,10.656334655066182,0.8846575111635353,83.4834834834835
Cardboard,3.0,3.0,5.0,0.53,154.0,48.0,High,86.0,59.0,90.0,3.22,96860.0,862.0,48.24610899045798,5.759095976487281,38.73873873873875
Plastic,7.0,7.0,8.0,1.52,29304.0,93.0,Medium,93.0,79.0,83.0,15.11,51095.0,966.0,10.656792400570982,0.5852960187837752,84.984984984985
Cardboard,5.0,4.0,5.0,0.47,250.0,48.0,High,87.0,62.0,90.0,3.39,100328.0,741.0,55.49931642728124,5.429378880706315,43.24324324324325
Plastic,8.0,8.0,9.0,1.57,69350.0,89.0,Medium,90.0,75.0,83.0,11.28,62593.0,1284.0,10.01866566390687,1.0610400238059814,81.98198198198199
Cardboard,3.0,3.0,4.0,0.52,157.0,47.0,High,90.0,61.0,90.0,2.77,100871.0,847.0,49.346393571740705,6.8272281268671176,39.33933933933934
Plastic,8.0,6.0,7.0,1.5,33532.0,93.0,Medium,97.0,82.0,91.0,14.4,51174.0,959.0,10.923572839681949,0.654380341880342,86.78678678678679
Plastic,9.0,8.0,7.0,1.48,52150.0,86.0,Medium,90.0,76.0,78.0,12.72,59942.0,1268.0,11.19737406397293,0.8485618155429475,81.68168168168168
Cardboard,3.0,3.0,5.0,0.53,201.0,50.0,High,85.0,60.0,89.0,2.6,99953.0,717.0,48.19990781821554,7.326967903890981,40.54054054054054
Plastic,7.0,6.0,8.0,1.4,76964.0,94.0,Medium,92.0,75.0,82.0,14.65,49673.0,998.0,12.372008165222322,0.62929107297708,82.2822822822823
Cardboard,4.0,5.0,6.0,0.5,332.0,51.0,High,84.0,60.0,86.0,2.94,102220.0,740.0,51.58484294940151,6.385281385281386,43.84384384384385
Plastic,8.0,8.0,9.0,1.48,35850.0,87.0,Medium,89.0,79.0,83.0,11.55,59371.0,1147.0,11.197639351020747,1.0171646535282899,83.18318318318319
Plastic,7.0,7.0,7.0,1.5,29304.0,93.0,Medium,93.0,81.0,83.0,15.11,51095.0,966.0,10.923703764063376,0.5852960187837752,86.1861861861862
Cardboard,4.0,4.0,4.0,0.53,291.0,53.0,High,85.0,60.0,93.0,2.81,97201.0,880.0,48.15308846841075,6.718429850102449,44.14414414414414
Plastic,8.0,8.0,8.0,1.5,46640.0,94.0,Medium,88.0,74.0,75.0,11.69,54650.0,1189.0,10.923317810223516,0.9952123724578814,84.38438438438442
Plastic,7.0,6.0,9.0,1.44,40050.0,96.0,Medium,96.0,79.0,90.0,15.25,50106.0,1088.0,11.76864447652044,0.572433031449425,85.8858858858859
Cardboard,3.0,4.0,6.0,0.49,197.0,50.0,High,87.0,61.0,83.0,3.87,96646.0,743.0,52.889603899800406,4.654776747800003,42.04204204204205
Plastic,8.0,7.0,9.0,1.43,52407.0,87.0,Medium,97.0,75.0,81.0,12.45,56902.0,1222.0,11.916230951271544,0.8846575111635353,79.8798798798799
Plastic,8.0,6.0,7.0,1.52,42997.0,99.0,Medium,86.0,80.0,82.0,14.94,48860.0,978.0,10.656461722448775,0.6012394566611434,89.1891891891892
Cardboard,4.0,5.0,4.0,0.52,169.0,46.0,High,90.0,65.0,87.0,2.82,96624.0,825.0,49.33263203911124,6.691712542776374,43.84384384384385
Plastic,8.0,8.0,9.0,1.53,60408.0,92.0,Medium,88.0,74.0,77.0,12.01,57077.0,1087.0,10.525418850315262,0.9469575664413301,83.18318318318319
Plastic,7.0,7.0,8.0,1.5,30911.0,95.0,Medium,95.0,82.0,85.0,14.68,52156.0,1010.0,10.923649782205036,0.6263377857383308,87.98798798798799
Cardboard,3.0,3.0,5.0,0.51,157.0,47.0,High,90.0,61.0,90.0,2.77,100871.0,847.0,50.49375011164014,6.8272281268671176,39.33933933933934
Plastic,9.0,6.0,9.0,1.45,40250.0,94.0,Medium,96.0,77.0,78.0,11.84,60648.0,1118.0,11.62291323280315,0.9722681597681597,85.28528528528531
Plastic,9.0,7.0,8.0,1.48,76964.0,94.0,Medium,92.0,75.0,82.0,14.65,49673.0,998.0,11.197185947533786,0.62929107297708,84.984984984985
Cardboard,4.0,4.0,4.0,0.51,209.0,50.0,High,86.0,60.0,91.0,3.06,99778.0,745.0,50.44552987689224,6.102884044060515,42.34234234234234
Plastic,8.0,7.0,9.0,1.47,33532.0,97.0,Medium,97.0,81.0,91.0,14.4,51174.0,959.0,11.337557811629338,0.654380341880342,89.4894894894895
Cardboard,3.0,5.0,6.0,0.51,154.0,48.0,High,86.0,60.0,90.0,3.22,96860.0,862.0,50.4975255970531,5.759095976487281,41.14114114114114
Plastic,8.0,6.0,9.0,1.36,29304.0,93.0,Medium,93.0,81.0,83.0,15.11,51095.0,966.0,13.011892666680346,0.5852960187837752,86.1861861861862
Cardboard,3.0,3.0,5.0,0.5,291.0,53.0,High,85.0,60.0,93.0,2.81,97201.0,880.0,51.59775587650129,6.718429850102449,42.342342342342356
Plastic,8.0,7.0,7.0,1.49,25244.0,96.0,Medium,86.0,79.0,82.0,14.41,49673.0,995.0,11.060013471574695,0.6533600565522841,87.68768768768768
Cardboard,5.0,4.0,5.0,0.52,332.0,51.0,High,84.0,62.0,86.0,2.94,102220.0,740.0,49.24423560800666,6.385281385281386,45.045045045045065
Plastic,7.0,6.0,8.0,1.47,40050.0,96.0,Medium,96.0,80.0,90.0,15.25,50106.0,1088.0,11.337410130741908,0.572433031449425,86.48648648648648
Cardboard,3.0,4.0,5.0,0.5,242.0,52.0,High,88.0,60.0,90.0,3.14,103063.0,782.0,51.618927767053506,5.926610544444939,42.64264264264265
Plastic,8.0,7.0,9.0,1.55,32911.0,97.0,Medium,100.0,81.0,90.0,14.55,46054.0,1003.0,10.26922661926099,0.6392233196356907,89.4894894894895
Cardboard,3.0,3.0,6.0,0.51,169.0,46.0,High,90.0,60.0,87.0,2.82,96624.0,825.0,50.47998857901068,6.691712542776374,38.13813813813814
Plastic,8.0,7.0,8.0,1.46,30911.0,95.0,Medium,95.0,79.0,85.0,14.68,52156.0,1010.0,11.479410429476875,0.6263377857383308,87.0870870870871
Cardboard,4.0,4.0,5.0,0.49,197.0,50.0,High,87.0,60.0,83.0,3.87,96646.0,743.0,52.889603899800406,4.654776747800003,42.34234234234234
Plastic,8.0,7.0,8.0,1.46,42997.0,99.0,Medium,86.0,78.0,82.0,14.94,48860.0,978.0,11.479133733213004,0.6012394566611434,88.88888888888891
Cardboard,3.0,5.0,5.0,0.5,157.0,47.0,High,90.0,61.0,90.0,2.77,100871.0,847.0,51.68700091313556,6.8272281268671176,41.14114114114114
Plastic,8.0,6.0,7.0,1.4,33532.0,93.0,Medium,97.0,81.0,91.0,14.4,51174.0,959.0,12.37252024149781,0.654380341880342,86.1861861861862
Cardboard,4.0,4.0,5.0,0.53,209.0,50.0,High,86.0,60.0,91.0,3.06,99778.0,745.0,48.194113270297116,6.102884044060515,42.34234234234234
Plastic,8.0,7.0,7.0,1.52,76964.0,94.0,Medium,92.0,75.0,82.0,14.65,49673.0,998.0,10.656149399914067,0.62929107297708,84.08408408408408
Cardboard,3.0,4.0,6.0,0.5,154.0,48.0,High,86.0,59.0,90.0,3.22,96860.0,862.0,51.690776398548515,5.759095976487281,39.63963963963965
Plastic,7.0,7.0,8.0,1.55,29304.0,93.0,Medium,93.0,81.0,83.0,15.11,51095.0,966.0,10.269340421307827,0.5852960187837752,86.1861861861862
Cardboard,3.0,4.0,5.0,0.51,332.0,51.0,High,84.0,62.0,86.0,2.94,102220.0,740.0,50.391592147906096,6.385281385281386,43.24324324324325
Plastic,7.0,7.0,8.0,1.53,40050.0,96.0,Medium,96.0,80.0,90.0,15.25,50106.0,1088.0,10.525674891629386,0.572433031449425,87.3873873873874
