material_id,packaging_type,material_type,suitable_product_categories,recommended_packaging_use_cases,supplier_region,recyclability_percent,recyclability_category,recycled_content_percent,reusability_percent,biodegradation_time_days,end_of_life_disposal_percent,carbon_footprint_kg_co2_unit,co2_emission_per_kg_estimated,waste_reduction_impact_percent,sustainability_target_progress_percent,load_handling_score,moisture_resistance_score,thermal_resistance_score,cost_per_unit_usd,annual_usage_units,total_material_weight_tons,supplier_sustainability_compliance_percent,co2_impact_index,cost_efficiency_index,material_suitability_score,overall_sustainability_score
MAT_0078,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,88,Medium,39.0,87.0,78380.0,11.0,0.94,1.43,78.0,80.0,9.0,9.0,8.0,12.68,56260.0,1242.0,87.0,51.80119396095847,69.57700077700079,85.18518518518518,72.33041788633547
MAT_0079,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,98,High,79.0,48.0,250.0,5.0,0.9,0.52,62.0,90.0,4.0,4.0,5.0,3.39,100328.0,741.0,87.0,80.4967745504023,82.82284382284382,37.03703703703704,81.07387109264079
MAT_0080,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EU,92,Medium,38.0,89.0,22417.0,12.0,1.05,1.63,79.0,81.0,7.0,9.0,7.0,11.61,59486.0,1210.0,98.0,51.92303995572289,73.25547785547786,74.07407407407406,74.07306398450301
MAT_0081,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EU,86,Medium,40.0,86.0,86303.0,11.0,1.09,1.47,82.0,79.0,9.0,9.0,8.0,12.38,56647.0,1236.0,85.0,50.55293691667542,69.35975135975137,85.18518518518518,72.39352792083639
MAT_0082,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,LATAM,71,Medium,38.0,13.0,38391.0,25.0,2.09,1.45,34.0,59.0,8.0,7.0,7.0,1.91,31467.0,196.0,63.0,47.30601952669387,70.5977466977467,70.37037037037037,51.60710683434285
MAT_0083,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,100,High,81.0,44.0,201.0,6.0,0.86,0.54,58.0,89.0,5.0,5.0,3.0,2.6,99953.0,717.0,85.0,81.90626014064173,84.15742035742035,37.03703703703704,81.06719104922459
MAT_0084,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,LATAM,63,Medium,32.0,10.0,79705.0,25.0,1.97,1.35,32.0,62.0,7.0,9.0,8.0,2.23,28967.0,217.0,63.0,45.3594321120676,66.97614607614608,77.77777777777777,47.525801239223654
MAT_0085,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,AMERICAS,68,Medium,29.0,9.0,65252.0,25.0,1.95,1.35,36.0,59.0,7.0,7.0,7.0,0.84,29535.0,227.0,68.0,47.092411816325736,70.97622377622378,66.66666666666666,51.08234413571401
MAT_0086,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,100,High,81.0,48.0,312.0,5.0,0.93,0.52,64.0,83.0,5.0,4.0,5.0,3.18,97331.0,889.0,80.0,80.08379160676039,83.83076923076923,40.74074074074074,82.22932706236612
MAT_0087,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,LATAM,88,Medium,52.0,97.0,32911.0,9.0,1.23,1.5,82.0,90.0,8.0,7.0,7.0,14.55,46054.0,1003.0,100.0,51.936990554935235,67.94452214452214,70.37037037037037,73.57794669422732
MAT_0088,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,EU,69,Medium,35.0,3.0,45188.0,26.0,1.9,1.45,26.0,54.0,9.0,8.0,7.0,0.84,29486.0,185.0,66.0,46.4961119619731,70.07622377622378,77.77777777777777,48.22363918669058
MAT_0089,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,95,High,92.0,31.0,66.0,2.0,0.42,0.31,61.0,96.0,3.0,3.0,2.0,2.26,73579.0,650.0,80.0,90.70775229931468,80.71787101787102,18.51851851851852,83.29771330476015
MAT_0090,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EU,100,High,88.0,28.0,133.0,3.0,0.57,0.28,67.0,98.0,2.0,3.0,4.0,1.76,75226.0,663.0,82.0,87.70795123546935,82.58912198912199,22.22222222222222,85.79778293241426
MAT_0091,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,LATAM,95,Medium,43.0,90.0,89433.0,12.0,0.96,1.49,77.0,77.0,8.0,9.0,8.0,12.25,59603.0,1126.0,91.0,52.94352152100505,73.1122766122766,81.48148148148148,74.88023253235177
MAT_0092,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,97,High,88.0,29.0,139.0,3.0,0.47,0.32,63.0,89.0,1.0,3.0,4.0,2.55,76866.0,517.0,84.0,86.00555262680942,80.35454545454546,18.51851851851852,82.9519434193833
MAT_0093,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EMEA,82,Medium,38.0,93.0,51800.0,11.0,0.87,1.6,76.0,78.0,7.0,9.0,7.0,12.22,58486.0,1211.0,86.0,48.2049143297894,69.87055167055168,74.07407407407406,68.37172001542629
MAT_0094,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,100,Medium,48.0,96.0,81714.0,10.0,1.14,1.51,82.0,90.0,7.0,9.0,7.0,14.87,46774.0,1086.0,91.0,54.27613954822219,70.72292152292152,74.07407407407406,78.59664884187777
MAT_0095,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,100,High,74.0,49.0,90.0,5.0,0.68,0.52,60.0,88.0,5.0,3.0,3.0,3.63,103469.0,862.0,80.0,87.02759328627279,83.15664335664336,29.629629629629626,83.45965765019547
MAT_0096,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,99,High,78.0,50.0,197.0,5.0,0.77,0.47,59.0,83.0,4.0,3.0,4.0,3.87,96646.0,743.0,87.0,82.65282842492647,82.5904428904429,29.629629629629626,81.27848994872426
MAT_0097,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,97,High,82.0,53.0,291.0,5.0,0.78,0.54,60.0,93.0,5.0,3.0,3.0,2.81,97201.0,880.0,85.0,79.22462803900328,84.64949494949495,29.629629629629626,79.67861981365114
MAT_0098,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,APAC,99,High,94.0,30.0,119.0,4.0,0.55,0.31,64.0,92.0,3.0,3.0,3.0,2.49,76341.0,614.0,78.0,87.68955986244575,81.27109557109557,22.22222222222222,84.541345951856
MAT_0099,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,ROW,84,Medium,50.0,93.0,19133.0,10.0,1.2,1.54,81.0,84.0,8.0,7.0,7.0,15.74,52785.0,1083.0,93.0,50.96882447478413,63.63294483294484,70.37037037037037,71.53908856617444
MAT_0100,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,AMERICAS,100,High,88.0,29.0,170.0,3.0,0.52,0.28,58.0,93.0,3.0,2.0,3.0,1.5,67350.0,601.0,74.0,86.29730674784204,83.2941724941725,18.51851851851852,82.6040573617447
MAT_0101,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EMEA,100,High,91.0,33.0,122.0,2.0,0.46,0.31,68.0,91.0,3.0,2.0,2.0,2.02,77375.0,549.0,85.0,87.83340103577153,83.08407148407149,14.814814814814813,86.14169036252004
MAT_0102,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",LATAM,94,High,68.0,96.0,161962.0,8.0,3.58,3.0,85.0,73.0,8.0,9.0,8.0,25.66,21183.0,5063.0,91.0,31.674144895915557,47.96332556332556,81.48148148148148,69.48595071357045
MAT_0103,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,99,High,80.0,52.0,242.0,5.0,0.79,0.51,60.0,90.0,4.0,4.0,5.0,3.14,103063.0,782.0,88.0,81.08694324869303,84.40846930846931,37.03703703703704,81.03043013704256
MAT_0104,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,100,High,77.0,46.0,187.0,4.0,0.85,0.52,65.0,88.0,6.0,3.0,5.0,2.7,99808.0,719.0,83.0,82.5520994086969,84.36317016317015,40.74074074074075,83.39323479304393
MAT_0105,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,LATAM,85,Medium,41.0,86.0,52150.0,13.0,0.92,1.44,79.0,78.0,7.0,9.0,8.0,12.72,59942.0,1268.0,90.0,51.25147550507899,68.3993006993007,77.77777777777777,71.38801642677764
MAT_0106,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,LATAM,61,Medium,22.0,12.0,71775.0,25.0,1.96,1.4,32.0,60.0,7.0,8.0,6.0,1.46,30357.0,178.0,67.0,44.207022343894934,68.27187257187258,66.66666666666666,46.42245782036323
MAT_0107,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EU,86,Medium,50.0,96.0,25270.0,11.0,1.17,1.6,76.0,82.0,7.0,8.0,7.0,14.28,48512.0,1065.0,95.0,50.35521410843986,67.66899766899768,70.37037037037037,70.52432493795395
MAT_0108,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EU,92,Medium,43.0,89.0,61952.0,12.0,1.07,1.42,75.0,80.0,8.0,9.0,7.0,12.18,61002.0,1202.0,89.0,53.411462403223034,72.14825174825175,77.77777777777777,73.39401184112806
MAT_0109,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,EU,94,Medium,44.0,87.0,35850.0,13.0,1.08,1.49,74.0,80.0,8.0,7.0,7.0,11.55,59371.0,1147.0,89.0,53.75742683091551,73.57202797202797,70.37037037037037,73.91509939082042
MAT_0110,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,LATAM,92,Medium,48.0,97.0,42939.0,11.0,1.13,1.52,80.0,90.0,7.0,7.0,6.0,14.61,48925.0,1033.0,98.0,52.51840010800859,69.02797202797204,62.96296296296296,74.581440037803
MAT_0111,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,LATAM,100,High,77.0,50.0,152.0,5.0,0.76,0.51,60.0,88.0,5.0,3.0,3.0,2.69,101662.0,790.0,83.0,83.82619850228848,85.18259518259518,29.629629629629626,82.33916947580096
MAT_0112,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",EMEA,95,High,73.0,99.0,75493.0,7.0,3.61,3.15,83.0,72.0,8.0,10.0,9.0,24.63,22295.0,4967.0,89.0,30.779408575259744,50.864102564102566,88.88888888888889,68.92279300134089
MAT_0113,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,90,Medium,47.0,93.0,66898.0,10.0,1.21,1.38,81.0,87.0,9.0,7.0,6.0,15.71,51480.0,985.0,89.0,53.2589047044768,65.4912198912199,70.37037037037037,74.44061664656688
MAT_0114,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EMEA,100,High,92.0,33.0,137.0,3.0,0.56,0.29,66.0,95.0,2.0,2.0,4.0,1.96,75069.0,637.0,79.0,87.39569166022233,83.2006216006216,18.51851851851852,85.38849208107781
MAT_0115,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,94,High,79.0,48.0,154.0,5.0,0.9,0.55,60.0,90.0,5.0,3.0,4.0,3.22,96860.0,862.0,86.0,81.41289600269084,81.95306915306915,33.33333333333333,79.39451360094179
MAT_0116,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,93,High,79.0,48.0,272.0,5.0,0.9,0.5,58.0,92.0,6.0,4.0,5.0,2.83,99216.0,778.0,92.0,78.87118974665171,82.4106449106449,44.44444444444444,77.5549164113281
MAT_0117,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,ROW,87,Medium,50.0,95.0,30911.0,10.0,1.2,1.39,82.0,85.0,9.0,8.0,7.0,14.68,52156.0,1113.0,97.0,53.203408428845414,66.99199689199689,77.77777777777777,73.67119295009589
MAT_0118,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,87,Medium,43.0,89.0,68093.0,12.0,1.06,1.48,77.0,81.0,8.0,9.0,8.0,12.01,57077.0,1217.0,92.0,50.991241415067144,70.97847707847708,81.48148148148148,71.3969344952735
MAT_0119,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EU,86,Medium,52.0,99.0,25244.0,10.0,1.18,1.43,82.0,82.0,7.0,8.0,7.0,14.41,49673.0,995.0,86.0,52.646235931468446,68.01647241647242,70.37037037037037,73.12618257601396
MAT_0120,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,EMEA,100,High,91.0,33.0,177.0,3.0,0.47,0.3,64.0,96.0,2.0,3.0,4.0,2.2,74542.0,540.0,84.0,85.80855097465468,82.73442113442113,22.22222222222222,84.23299284112913
MAT_0121,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,100,High,80.0,48.0,310.0,5.0,0.8,0.47,61.0,90.0,5.0,4.0,4.0,3.31,103175.0,758.0,93.0,80.78550942586946,83.57824397824398,37.03703703703703,81.5749282990543
MAT_0122,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,ROW,69,Medium,30.0,12.0,65985.0,25.0,1.96,1.6,31.0,63.0,9.0,9.0,7.0,1.86,30397.0,298.0,69.0,44.012179172958064,69.89487179487179,81.48148148148148,48.85426271053531
MAT_0123,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,97,High,76.0,50.0,332.0,5.0,0.73,0.52,62.0,88.0,5.0,5.0,4.0,2.94,102220.0,740.0,84.0,78.91339711701195,83.7969696969697,40.74074074074074,80.16968899095419
MAT_0124,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",APAC,94,High,72.0,99.0,103598.0,7.0,3.56,2.98,82.0,76.0,9.0,10.0,9.0,24.62,21703.0,5063.0,90.0,32.41348576760714,50.58352758352758,92.5925925925926,68.8447200186625
MAT_0125,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EU,82,Medium,48.0,93.0,29304.0,11.0,1.12,1.38,79.0,83.0,7.0,9.0,6.0,15.11,51095.0,966.0,93.0,51.91123267666992,64.25672105672106,70.37037037037037,70.56893143683448
MAT_0126,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,86,Medium,36.0,92.0,10935.0,13.0,1.06,1.42,75.0,81.0,8.0,7.0,6.0,12.59,62098.0,1250.0,91.0,54.07390167295132,70.15182595182596,66.66666666666666,71.52586558553296
MAT_0127,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,100,High,77.0,53.0,153.0,5.0,0.81,0.51,62.0,84.0,4.0,5.0,4.0,2.83,101569.0,765.0,86.0,83.78873837166951,85.51064491064491,37.03703703703703,82.92605843008431
MAT_0128,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",AMERICAS,93,High,71.0,98.0,99557.0,7.0,3.57,3.13,83.0,75.0,8.0,10.0,8.0,25.68,19707.0,4939.0,94.0,30.136900984879322,48.02447552447553,85.18518518518518,67.99791534470776
MAT_0129,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,LATAM,100,High,88.0,32.0,176.0,2.0,0.53,0.3,69.0,96.0,2.0,2.0,4.0,2.02,73907.0,597.0,83.0,85.83915414937353,82.88407148407148,18.51851851851852,85.74370395228073
MAT_0130,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,96,High,83.0,49.0,275.0,6.0,0.85,0.52,65.0,89.0,6.0,4.0,4.0,3.18,100778.0,819.0,92.0,79.45132338624026,82.83076923076923,40.74074074074074,80.9079631851841
MAT_0131,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,LATAM,84,Medium,48.0,97.0,41427.0,9.0,1.06,1.48,80.0,87.0,8.0,7.0,7.0,15.76,48866.0,1053.0,97.0,50.70317090322185,64.3940947940948,70.37037037037037,71.14610981612765
MAT_0132,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,99,High,79.0,48.0,101.0,5.0,0.8,0.53,62.0,87.0,6.0,4.0,4.0,3.1,103099.0,753.0,83.0,85.7959878881716,83.68616938616938,40.74074074074074,83.27859576086006
MAT_0133,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,LATAM,69,Medium,28.0,15.0,50508.0,26.0,1.96,1.46,29.0,61.0,9.0,7.0,6.0,1.33,28859.0,219.0,70.0,46.22173922987942,71.52439782439782,70.37037037037037,49.02760873045779
MAT_0134,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,99,High,79.0,52.0,242.0,5.0,0.72,0.49,61.0,93.0,5.0,4.0,4.0,2.8,101569.0,824.0,93.0,81.35630351805332,85.06891996891997,37.03703703703703,81.42470623131865
MAT_0135,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,AMERICAS,100,High,84.0,33.0,165.0,3.0,0.54,0.31,64.0,95.0,3.0,1.0,4.0,1.87,76033.0,680.0,80.0,86.05776346261449,83.37544677544678,18.51851851851852,84.32021721191506
MAT_0136,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,ROW,97,High,78.0,51.0,200.0,6.0,0.88,0.48,64.0,88.0,5.0,3.0,5.0,3.31,101538.0,816.0,84.0,81.84002575039867,83.27824397824398,37.03703703703704,81.79400901263953
MAT_0137,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,APAC,97,High,84.0,52.0,130.0,5.0,0.74,0.51,61.0,90.0,5.0,5.0,4.0,2.94,98083.0,782.0,88.0,83.84846642657446,84.19696969696969,40.74074074074074,81.59696324930106
MAT_0138,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,84,Medium,51.0,96.0,25227.0,11.0,1.14,1.44,79.0,84.0,8.0,8.0,7.0,14.65,51659.0,1010.0,95.0,51.912511080579236,66.35027195027195,74.07407407407408,71.26937887820273
MAT_0139,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,LATAM,85,Medium,38.0,94.0,84260.0,11.0,1.06,1.52,78.0,79.0,8.0,8.0,6.0,12.72,55887.0,1184.0,88.0,49.606613724753856,69.99930069930069,70.37037037037037,70.51231480366384
MAT_0140,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,AMERICAS,99,High,80.0,48.0,252.0,5.0,0.81,0.51,64.0,91.0,4.0,4.0,5.0,2.78,100650.0,782.0,85.0,80.89363460895342,84.30777000777,37.03703703703704,82.1627721131337
MAT_0141,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",LATAM,94,High,68.0,96.0,153549.0,7.0,3.58,2.98,82.0,75.0,9.0,9.0,9.0,24.96,22070.0,5036.0,87.0,31.997760511670343,49.32307692307692,88.88888888888889,68.69921617908462
MAT_0142,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,ROW,100,High,88.0,34.0,179.0,3.0,0.58,0.3,64.0,96.0,1.0,2.0,3.0,2.5,76742.0,674.0,78.0,85.74805349388679,82.35167055167057,11.11111111111111,84.21181872286037
MAT_0143,Bubble Wrap (Minimal Use),Plastic,"Low-Value Goods, Secondary Protection for Non-Fragile Items",Surface protection during transit; minimal void-fill,LATAM,62,Medium,23.0,12.0,74533.0,26.0,1.96,1.38,32.0,60.0,7.0,8.0,6.0,1.5,30291.0,257.0,67.0,44.73258964198508,68.49417249417249,66.66666666666666,46.95640637469477
MAT_0144,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,LATAM,82,Medium,41.0,87.0,37036.0,12.0,1.06,1.54,72.0,83.0,7.0,7.0,6.0,12.72,57467.0,1176.0,96.0,49.44104401804007,67.69930069930071,62.96296296296296,67.60436540631402
MAT_0145,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,AMERICAS,93,Medium,50.0,92.0,31940.0,11.0,1.21,1.5,78.0,86.0,8.0,7.0,7.0,14.41,47587.0,975.0,89.0,53.47743453477133,68.71647241647241,70.37037037037037,74.66710208716997
MAT_0146,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,ROW,81,Medium,36.0,92.0,62453.0,12.0,0.92,1.49,74.0,77.0,8.0,9.0,8.0,12.28,60352.0,1118.0,90.0,49.1590702282956,69.25400155400155,81.48148148148148,67.75567457990346
MAT_0147,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EU,100,High,82.0,50.0,154.0,5.0,0.76,0.53,59.0,91.0,4.0,4.0,4.0,2.98,103323.0,737.0,85.0,83.4822562720511,84.61926961926962,33.33333333333333,81.91878969521788
MAT_0148,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,EMEA,90,Medium,49.0,94.0,76964.0,10.0,1.06,1.44,83.0,90.0,7.0,7.0,7.0,14.65,49673.0,998.0,92.0,52.287462735434,67.75027195027195,66.66666666666666,74.70061195740189
MAT_0149,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",AMERICAS,96,High,70.0,98.0,90587.0,8.0,3.64,3.06,85.0,76.0,9.0,10.0,8.0,25.43,21272.0,4976.0,93.0,32.08438639228105,49.41010101010101,88.88888888888889,70.32953523729837
MAT_0150,Protective Fillers (Paper/Biodegradable),Paper/Bio-Based,"Fragile Items, Cosmetics, Pharmaceuticals, Internal Component Protection",Void-fill and cushioning for fragile products,APAC,94,High,87.0,33.0,126.0,2.0,0.56,0.28,67.0,95.0,3.0,3.0,3.0,2.44,71008.0,634.0,84.0,86.23742132738177,80.46822066822065,22.22222222222222,83.18309746458361
MAT_0151,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,APAC,94,Medium,50.0,96.0,40050.0,11.0,1.15,1.52,82.0,90.0,7.0,7.0,7.0,15.25,50106.0,1088.0,96.0,53.20816088616811,68.18477078477079,66.66666666666666,76.12285631015882
MAT_0152,Steel Racks & Containers,Steel,"Heavy Industrial Components, High-Security Goods","Secure, high-load international shipping and long-term storage",APAC,99,High,73.0,98.0,157790.0,8.0,3.58,3.07,85.0,73.0,10.0,9.0,9.0,24.33,20573.0,4938.0,91.0,32.25786707619701,52.44685314685316,92.5925925925926,71.44025347666896
MAT_0153,Foldable & Stackable Containers,Plastic,"Electronics, Medium-Value Goods, Retail Logistics",Cross-docking and returnable packaging programs,APAC,87,Medium,41.0,89.0,68326.0,12.0,1.0,1.6,73.0,81.0,9.0,8.0,8.0,12.7,60528.0,1117.0,86.0,49.37106247281372,69.63815073815076,81.48148148148148,69.62987186548479
MAT_0154,Cardboard Boxes,Cardboard,"E-commerce, Food & Beverage, Consumer Goods, Apparel",Last-mile delivery and primary e-commerce packaging,EMEA,100,High,78.0,47.0,157.0,5.0,0.76,0.51,61.0,90.0,6.0,5.0,5.0,2.77,100871.0,847.0,90.0,83.64222815000346,84.42719502719503,48.148148148148145,82.57477985250121
MAT_0155,Plastic Totes & Pallets,Plastic,"Industrial Components, Heavy Machinery, Automotive Parts",Closed-loop logistics and bulk material handling,LATAM,85,Medium,50.0,97.0,41427.0,10.0,1.21,1.56,80.0,89.0,9.0,6.0,7.0,14.68,52156.0,989.0,97.0,49.92572982578076,66.79199689199689,70.37037037037037,71.22400543902326
