Recyclability (%),Recycled Content (%),Reusability (%),Biodegradation Time (days),End-of-Life Disposal (%),CO2 Emission per kg (estimated),Waste Reduction Impact (%),Sustainability Target Progress (%),Load Handling Score,Moisture Resistance Score,Thermal Resistance Score,Cost per Unit (USD),Annual Usage (units),Total Material Weight (tons),Supplier Sustainability Compliance (%)
100,80.0,50.0,230.0,5.0,0.49,60.0,85.0,5.0,5.0,4.0,3.07,98791.0,732.0,83.0
90,48.0,99.0,42997.0,10.0,1.52,76.0,82.0,9.0,7.0,7.0,14.94,48860.0,978.0,86.0
88,71.0,97.0,99557.0,8.0,3.02,83.0,73.0,9.0,9.0,10.0,25.68,19707.0,5063.0,94.0
97,77.0,48.0,250.0,5.0,0.5,61.0,90.0,5.0,4.0,4.0,3.39,100328.0,741.0,87.0
100,88.0,29.0,133.0,3.0,0.29,66.0,98.0,2.0,2.0,3.0,1.76,75226.0,663.0,82.0
84,41.0,86.0,52150.0,13.0,1.48,77.0,78.0,7.0,9.0,8.0,12.72,59942.0,1268.0,90.0
62,23.0,12.0,74533.0,25.0,1.52,32.0,60.0,7.0,8.0,6.0,1.5,30291.0,257.0,67.0
100,81.0,50.0,201.0,5.0,0.53,60.0,89.0,6.0,3.0,4.0,2.6,99953.0,717.0,85.0
86,50.0,96.0,25270.0,11.0,1.56,76.0,82.0,8.0,8.0,7.0,14.28,48512.0,1065.0,95.0
98,77.0,46.0,169.0,5.0,0.5,58.0,87.0,6.0,4.0,5.0,2.82,96624.0,825.0,90.0
99,81.0,52.0,242.0,5.0,0.53,60.0,90.0,5.0,4.0,4.0,3.14,103063.0,782.0,88.0
84,36.0,94.0,40250.0,13.0,1.52,79.0,78.0,9.0,9.0,6.0,11.84,60648.0,1118.0,96.0
86,50.0,95.0,31940.0,10.0,1.46,83.0,86.0,7.0,7.0,7.0,14.41,47587.0,975.0,89.0
90,48.0,93.0,33525.0,11.0,1.43,80.0,90.0,8.0,7.0,7.0,15.74,52785.0,1053.0,97.0
100,82.0,53.0,291.0,5.0,0.5,59.0,93.0,5.0,4.0,4.0,2.81,97201.0,880.0,85.0
97,76.0,51.0,332.0,6.0,0.53,60.0,86.0,5.0,3.0,4.0,2.94,102220.0,740.0,84.0
95,71.0,97.0,90587.0,8.0,3.15,83.0,76.0,8.0,9.0,8.0,25.43,21272.0,4976.0,93.0
94,87.0,36.0,171.0,2.0,0.29,67.0,91.0,3.0,3.0,3.0,1.23,76655.0,523.0,78.0
90,48.0,94.0,76964.0,10.0,1.52,75.0,82.0,9.0,7.0,6.0,14.65,49673.0,998.0,92.0
87,44.0,87.0,35850.0,13.0,1.41,74.0,83.0,9.0,8.0,8.0,11.55,59371.0,1147.0,89.0
73,30.0,12.0,31602.0,25.0,1.48,31.0,56.0,8.0,7.0,7.0,1.42,31018.0,171.0,70.0
94,50.0,96.0,40050.0,10.0,1.53,79.0,90.0,8.0,7.0,6.0,15.25,50106.0,1088.0,96.0
97,73.0,98.0,157790.0,8.0,2.8,85.0,73.0,9.0,10.0,10.0,24.33,20573.0,4938.0,91.0
98,77.0,48.0,250.0,6.0,0.48,61.0,90.0,4.0,4.0,5.0,3.39,100328.0,741.0,87.0
100,88.0,29.0,133.0,2.0,0.3,66.0,98.0,1.0,3.0,2.0,1.76,75226.0,663.0,82.0
92,48.0,99.0,42997.0,10.0,1.38,80.0,82.0,8.0,8.0,7.0,14.94,48860.0,978.0,86.0
100,78.0,47.0,157.0,5.0,0.49,61.0,90.0,6.0,3.0,4.0,2.77,100871.0,847.0,90.0
88,47.0,97.0,33532.0,10.0,1.44,79.0,91.0,7.0,8.0,6.0,14.4,51174.0,959.0,97.0
87,36.0,92.0,10935.0,13.0,1.56,76.0,81.0,8.0,7.0,7.0,12.59,62098.0,1250.0,91.0
97,76.0,51.0,332.0,6.0,0.5,60.0,86.0,5.0,4.0,4.0,2.94,102220.0,740.0,84.0
90,50.0,95.0,30911.0,10.0,1.5,81.0,85.0,9.0,7.0,6.0,14.68,52156.0,1010.0,95.0
99,89.0,31.0,104.0,2.0,0.31,66.0,91.0,2.0,3.0,2.0,1.96,75069.0,637.0,79.0
94,79.0,48.0,154.0,5.0,0.53,59.0,90.0,5.0,5.0,4.0,3.22,96860.0,862.0,86.0
76,30.0,8.0,64044.0,25.0,1.44,32.0,60.0,9.0,7.0,7.0,1.18,27055.0,315.0,72.0
95,50.0,96.0,25244.0,11.0,1.42,80.0,82.0,8.0,7.0,7.0,14.41,49673.0,995.0,86.0
100,81.0,52.0,242.0,5.0,0.53,63.0,93.0,6.0,3.0,5.0,3.14,103063.0,782.0,88.0
84,41.0,89.0,69350.0,13.0,1.46,72.0,83.0,7.0,9.0,8.0,11.28,62593.0,1284.0,90.0
100,92.0,30.0,141.0,3.0,0.3,65.0,93.0,3.0,3.0,3.0,1.6,73892.0,525.0,85.0
94,79.0,48.0,154.0,5.0,0.51,60.0,90.0,6.0,3.0,4.0,3.22,96860.0,862.0,86.0
82,41.0,86.0,52150.0,13.0,1.42,76.0,78.0,9.0,8.0,8.0,12.72,59942.0,1268.0,90.0
90,48.0,93.0,33525.0,10.0,1.52,79.0,90.0,8.0,7.0,7.0,15.74,52785.0,1053.0,97.0
97,72.0,99.0,103598.0,8.0,2.97,85.0,76.0,9.0,9.0,9.0,24.62,21703.0,5063.0,90.0
99,78.0,50.0,197.0,5.0,0.51,61.0,83.0,6.0,4.0,5.0,3.87,96646.0,743.0,87.0
95,42.0,94.0,46640.0,12.0,1.5,74.0,75.0,9.0,9.0,7.0,11.69,54650.0,1189.0,88.0
92,48.0,99.0,42997.0,10.0,1.52,78.0,82.0,7.0,7.0,6.0,14.94,48860.0,978.0,86.0
98,77.0,46.0,169.0,4.0,0.52,61.0,87.0,5.0,3.0,4.0,2.82,96624.0,825.0,90.0
100,77.0,53.0,153.0,5.0,0.5,60.0,84.0,5.0,4.0,4.0,2.83,101569.0,765.0,86.0
87,44.0,87.0,35850.0,13.0,1.48,79.0,83.0,8.0,8.0,7.0,11.55,59371.0,1147.0,89.0
88,50.0,96.0,40050.0,10.0,1.52,79.0,90.0,7.0,8.0,7.0,15.25,50106.0,1088.0,96.0
100,81.0,50.0,209.0,5.0,0.51,64.0,91.0,5.0,4.0,4.0,3.06,99778.0,745.0,86.0
87,40.0,92.0,60408.0,12.0,1.55,75.0,77.0,8.0,7.0,7.0,12.01,57077.0,1087.0,88.0
94,50.0,96.0,25244.0,11.0,1.41,78.0,82.0,9.0,7.0,6.0,14.41,49673.0,995.0,86.0
96,73.0,98.0,157790.0,7.0,3.02,83.0,72.0,8.0,10.0,9.0,24.33,20573.0,4938.0,91.0
96,78.0,50.0,197.0,6.0,0.5,59.0,83.0,4.0,4.0,5.0,3.87,96646.0,743.0,87.0
90,50.0,95.0,30911.0,10.0,1.55,81.0,85.0,7.0,7.0,6.0,14.68,52156.0,1010.0,95.0
99,82.0,53.0,291.0,5.0,0.51,60.0,93.0,6.0,4.0,4.0,2.81,97201.0,880.0,85.0
85,38.0,87.0,52407.0,12.0,1.52,78.0,81.0,8.0,9.0,8.0,12.45,56902.0,1222.0,97.0
98,79.0,48.0,154.0,5.0,0.53,59.0,90.0,5.0,3.0,3.0,3.22,96860.0,862.0,86.0
92,48.0,93.0,29304.0,10.0,1.52,79.0,83.0,8.0,7.0,7.0,15.11,51095.0,966.0,93.0
98,77.0,48.0,250.0,5.0,0.47,62.0,90.0,5.0,5.0,4.0,3.39,100328.0,741.0,87.0
88,41.0,89.0,69350.0,13.0,1.57,75.0,83.0,9.0,8.0,8.0,11.28,62593.0,1284.0,90.0
100,78.0,47.0,157.0,5.0,0.52,61.0,90.0,4.0,3.0,3.0,2.77,100871.0,847.0,90.0
87,47.0,93.0,33532.0,11.0,1.5,82.0,91.0,7.0,8.0,6.0,14.4,51174.0,959.0,97.0
82,41.0,86.0,52150.0,12.0,1.48,76.0,78.0,7.0,9.0,8.0,12.72,59942.0,1268.0,90.0
100,81.0,50.0,201.0,6.0,0.53,60.0,89.0,5.0,3.0,3.0,2.6,99953.0,717.0,85.0
88,49.0,94.0,76964.0,10.0,1.4,75.0,82.0,8.0,7.0,6.0,14.65,49673.0,998.0,92.0
97,76.0,51.0,332.0,5.0,0.5,60.0,86.0,6.0,4.0,5.0,2.94,102220.0,740.0,84.0
87,44.0,87.0,35850.0,13.0,1.48,79.0,83.0,9.0,8.0,8.0,11.55,59371.0,1147.0,89.0
85,48.0,93.0,29304.0,11.0,1.5,81.0,83.0,7.0,7.0,7.0,15.11,51095.0,966.0,93.0
99,82.0,53.0,291.0,5.0,0.53,60.0,93.0,4.0,4.0,4.0,2.81,97201.0,880.0,85.0
95,42.0,94.0,46640.0,12.0,1.5,74.0,75.0,8.0,8.0,8.0,11.69,54650.0,1189.0,88.0
85,50.0,96.0,40050.0,10.0,1.44,79.0,90.0,9.0,7.0,6.0,15.25,50106.0,1088.0,96.0
99,78.0,50.0,197.0,5.0,0.49,61.0,83.0,6.0,3.0,4.0,3.87,96646.0,743.0,87.0
85,38.0,87.0,52407.0,12.0,1.43,75.0,81.0,9.0,8.0,7.0,12.45,56902.0,1222.0,97.0
95,48.0,99.0,42997.0,11.0,1.52,80.0,82.0,7.0,8.0,6.0,14.94,48860.0,978.0,86.0
100,77.0,46.0,169.0,5.0,0.52,65.0,87.0,4.0,4.0,5.0,2.82,96624.0,825.0,90.0
82,40.0,92.0,60408.0,12.0,1.53,74.0,77.0,9.0,8.0,8.0,12.01,57077.0,1087.0,88.0
90,50.0,95.0,30911.0,11.0,1.5,82.0,85.0,8.0,7.0,7.0,14.68,52156.0,1010.0,95.0
100,78.0,47.0,157.0,5.0,0.51,61.0,90.0,5.0,3.0,3.0,2.77,100871.0,847.0,90.0
88,36.0,94.0,40250.0,12.0,1.45,77.0,78.0,9.0,9.0,6.0,11.84,60648.0,1118.0,96.0
87,49.0,94.0,76964.0,10.0,1.48,75.0,82.0,8.0,9.0,7.0,14.65,49673.0,998.0,92.0
100,81.0,50.0,209.0,6.0,0.51,60.0,91.0,4.0,4.0,4.0,3.06,99778.0,745.0,86.0
90,47.0,97.0,33532.0,11.0,1.47,81.0,91.0,9.0,8.0,7.0,14.4,51174.0,959.0,97.0
99,79.0,48.0,154.0,5.0,0.51,60.0,90.0,6.0,3.0,5.0,3.22,96860.0,862.0,86.0
85,48.0,93.0,29304.0,11.0,1.36,81.0,83.0,9.0,8.0,6.0,15.11,51095.0,966.0,93.0
100,82.0,53.0,291.0,5.0,0.5,60.0,93.0,5.0,3.0,3.0,2.81,97201.0,880.0,85.0
95,48.0,96.0,25244.0,11.0,1.49,79.0,82.0,7.0,8.0,7.0,14.41,49673.0,995.0,86.0
97,76.0,51.0,332.0,6.0,0.52,62.0,86.0,5.0,5.0,4.0,2.94,102220.0,740.0,84.0
88,50.0,96.0,40050.0,11.0,1.47,80.0,90.0,8.0,7.0,6.0,15.25,50106.0,1088.0,96.0
99,81.0,52.0,242.0,5.0,0.5,60.0,90.0,5.0,3.0,4.0,3.14,103063.0,782.0,88.0
85,50.0,97.0,32911.0,10.0,1.55,81.0,90.0,9.0,8.0,7.0,14.55,46054.0,1003.0,100.0
98,77.0,46.0,169.0,4.0,0.51,60.0,87.0,6.0,3.0,3.0,2.82,96624.0,825.0,90.0
90,50.0,95.0,30911.0,10.0,1.46,79.0,85.0,8.0,8.0,7.0,14.68,52156.0,1010.0,95.0
96,78.0,50.0,197.0,5.0,0.49,60.0,83.0,5.0,4.0,4.0,3.87,96646.0,743.0,87.0
92,48.0,99.0,42997.0,11.0,1.46,78.0,82.0,8.0,8.0,7.0,14.94,48860.0,978.0,86.0
100,78.0,47.0,157.0,5.0,0.5,61.0,90.0,5.0,3.0,5.0,2.77,100871.0,847.0,90.0
88,47.0,93.0,33532.0,10.0,1.4,81.0,91.0,7.0,8.0,6.0,14.4,51174.0,959.0,97.0
99,81.0,50.0,209.0,6.0,0.53,60.0,91.0,5.0,4.0,4.0,3.06,99778.0,745.0,86.0
90,49.0,94.0,76964.0,10.0,1.52,75.0,82.0,7.0,8.0,7.0,14.65,49673.0,998.0,92.0
94,79.0,48.0,154.0,5.0,0.5,59.0,90.0,6.0,3.0,4.0,3.22,96860.0,862.0,86.0
85,48.0,93.0,29304.0,11.0,1.55,81.0,83.0,8.0,7.0,7.0,15.11,51095.0,966.0,93.0
97,76.0,51.0,332.0,6.0,0.51,62.0,86.0,5.0,3.0,4.0,2.94,102220.0,740.0,84.0
88,50.0,96.0,40050.0,11.0,1.53,80.0,90.0,8.0,7.0,7.0,15.25,50106.0,1088.0,96.0
99,82.0,53.0,291.0,5.0,0.5,60.0,93.0,5.0,4.0,4.0,2.81,97201.0,880.0,85.0
95,48.0,96.0,25244.0,11.0,1.5,78.0,82.0,7.0,8.0,6.0,14.41,49673.0,995.0,86.0
98,77.0,46.0,169.0,4.0,0.53,60.0,87.0,6.0,3.0,5.0,2.82,96624.0,825.0,90.0
88,47.0,97.0,33532.0,10.0,1.48,82.0,91.0,9.0,7.0,6.0,14.4,51174.0,959.0,97.0
96,78.0,50.0,197.0,5.0,0.47,60.0,83.0,5.0,5.0,3.0,3.87,96646.0,743.0,87.0
90,50.0,95.0,30911.0,11.0,1.37,81.0,85.0,9.0,9.0,7.0,14.68,52156.0,1010.0,95.0
100,78.0,47.0,157.0,5.0,0.5,60.0,90.0,5.0,3.0,4.0,2.77,100871.0,847.0,90.0
94,50.0,96.0,40050.0,11.0,1.42,79.0,90.0,7.0,7.0,7.0,15.25,50106.0,1088.0,96.0
94,79.0,48.0,154.0,5.0,0.53,59.0,90.0,5.0,3.0,3.0,3.22,96860.0,862.0,86.0
85,48.0,93.0,29304.0,11.0,1.52,81.0,83.0,7.0,9.0,6.0,15.11,51095.0,966.0,93.0
97,76.0,51.0,332.0,6.0,0.5,60.0,86.0,5.0,4.0,4.0,2.94,102220.0,740.0,84.0
92,48.0,99.0,42997.0,10.0,1.48,76.0,82.0,8.0,7.0,7.0,14.94,48860.0,978.0,86.0
99,82.0,53.0,291.0,5.0,0.51,60.0,93.0,5.0,4.0,4.0,2.81,97201.0,880.0,85.0
88,47.0,97.0,33532.0,10.0,1.5,82.0,91.0,9.0,7.0,6.0,14.4,51174.0,959.0,97.0
96,78.0,50.0,197.0,5.0,0.48,61.0,83.0,6.0,3.0,5.0,3.87,96646.0,743.0,87.0
90,49.0,94.0,76964.0,10.0,1.46,75.0,82.0,8.0,8.0,7.0,14.65,49673.0,998.0,92.0
100,77.0,46.0,169.0,4.0,0.51,62.0,87.0,5.0,3.0,3.0,2.82,96624.0,825.0,90.0
95,48.0,96.0,25244.0,11.0,1.43,80.0,82.0,8.0,8.0,7.0,14.41,49673.0,995.0,86.0
98,79.0,48.0,154.0,5.0,0.5,59.0,90.0,5.0,3.0,4.0,3.22,96860.0,862.0,86.0
90,50.0,95.0,30911.0,10.0,1.46,79.0,85.0,9.0,7.0,6.0,14.68,52156.0,1010.0,95.0
100,78.0,47.0,157.0,5.0,0.5,60.0,90.0,5.0,4.0,4.0,2.77,100871.0,847.0,90.0
88,50.0,96.0,40050.0,11.0,1.42,79.0,90.0,8.0,8.0,7.0,15.25,50106.0,1088.0,96.0
99,81.0,52.0,242.0,5.0,0.53,60.0,90.0,4.0,4.0,5.0,3.14,103063.0,782.0,88.0
85,48.0,93.0,29304.0,11.0,1.4,81.0,83.0,7.0,9.0,6.0,15.11,51095.0,966.0,93.0
100,82.0,53.0,291.0,5.0,0.52,59.0,93.0,5.0,4.0,4.0,2.81,97201.0,880.0,85.0
87,47.0,97.0,33532.0,10.0,1.47,81.0,91.0,9.0,7.0,7.0,14.4,51174.0,959.0,97.0
97,76.0,51.0,332.0,6.0,0.5,60.0,86.0,5.0,3.0,3.0,2.94,102220.0,740.0,84.0
92,48.0,99.0,42997.0,11.0,1.52,78.0,82.0,7.0,7.0,7.0,14.94,48860.0,978.0,86.0
96,78.0,50.0,197.0,5.0,0.49,61.0,83.0,4.0,4.0,5.0,3.87,96646.0,743.0,87.0
90,49.0,94.0,76964.0,10.0,1.44,83.0,82.0,8.0,7.0,7.0,14.65,49673.0,998.0,92.0
100,77.0,46.0,169.0,4.0,0.52,61.0,87.0,5.0,3.0,3.0,2.82,96624.0,825.0,90.0
95,48.0,96.0,25244.0,11.0,1.5,80.0,82.0,8.0,8.0,7.0,14.41,49673.0,995.0,86.0
98,79.0,48.0,154.0,5.0,0.51,60.0,90.0,6.0,3.0,4.0,3.22,96860.0,862.0,86.0
90,50.0,95.0,30911.0,10.0,1.54,79.0,85.0,9.0,7.0,6.0,14.68,52156.0,1010.0,95.0
100,78.0,47.0,157.0,5.0,0.53,60.0,90.0,5.0,4.0,4.0,2.77,100871.0,847.0,90.0
88,50.0,96.0,40050.0,11.0,1.45,79.0,90.0,7.0,7.0,6.0,15.25,50106.0,1088.0,96.0
99,81.0,52.0,242.0,5.0,0.51,63.0,90.0,6.0,3.0,5.0,3.14,103063.0,782.0,88.0
85,48.0,93.0,29304.0,11.0,1.46,81.0,83.0,7.0,9.0,7.0,15.11,51095.0,966.0,93.0
100,82.0,53.0,291.0,5.0,0.51,60.0,93.0,4.0,4.0,4.0,2.81,97201.0,880.0,85.0
87,47.0,97.0,33532.0,10.0,1.53,82.0,91.0,9.0,7.0,6.0,14.4,51174.0,959.0,97.0
97,76.0,51.0,332.0,6.0,0.52,60.0,86.0,5.0,4.0,4.0,2.94,102220.0,740.0,84.0
92,48.0,99.0,42997.0,11.0,1.49,78.0,82.0,8.0,8.0,7.0,14.94,48860.0,978.0,86.0
96,78.0,50.0,197.0,5.0,0.48,61.0,83.0,5.0,5.0,3.0,3.87,96646.0,743.0,87.0
90,49.0,94.0,76964.0,10.0,1.41,75.0,82.0,7.0,8.0,6.0,14.65,49673.0,998.0,92.0
98,77.0,46.0,169.0,4.0,0.53,60.0,87.0,6.0,3.0,5.0,2.82,96624.0,825.0,90.0
95,48.0,96.0,25244.0,11.0,1.5,80.0,82.0,8.0,7.0,7.0,14.41,49673.0,995.0,86.0
94,79.0,48.0,154.0,5.0,0.5,60.0,90.0,6.0,3.0,4.0,3.22,96860.0,862.0,86.0
90,50.0,95.0,30911.0,10.0,1.46,79.0,85.0,7.0,7.0,6.0,14.68,52156.0,1010.0,95.0
100,78.0,47.0,157.0,5.0,0.51,61.0,90.0,5.0,4.0,4.0,2.77,100871.0,847.0,90.0
88,50.0,96.0,40050.0,11.0,1.46,79.0,90.0,8.0,8.0,7.0,15.25,50106.0,1088.0,96.0
99,81.0,52.0,242.0,5.0,0.52,63.0,90.0,6.0,3.0,5.0,3.14,103063.0,782.0,88.0
85,48.0,93.0,29304.0,11.0,1.53,81.0,83.0,7.0,9.0,7.0,15.11,51095.0,966.0,93.0
100,82.0,53.0,291.0,5.0,0.52,60.0,93.0,4.0,4.0,4.0,2.81,97201.0,880.0,85.0
87,47.0,97.0,33532.0,10.0,1.48,81.0,91.0,9.0,7.0,6.0,14.4,51174.0,959.0,97.0
97,76.0,51.0,332.0,6.0,0.51,60.0,86.0,5.0,3.0,3.0,2.94,102220.0,740.0,84.0
92,48.0,99.0,42997.0,11.0,1.5,78.0,82.0,7.0,8.0,7.0,14.94,48860.0,978.0,86.0
96,78.0,50.0,197.0,5.0,0.48,61.0,83.0,5.0,5.0,4.0,3.87,96646.0,743.0,87.0
90,49.0,94.0,76964.0,10.0,1.45,83.0,82.0,7.0,7.0,6.0,14.65,49673.0,998.0,92.0
98,77.0,46.0,169.0,4.0,0.53,60.0,87.0,6.0,3.0,5.0,2.82,96624.0,825.0,90.0
95,48.0,96.0,25244.0,11.0,1.41,78.0,82.0,8.0,7.0,7.0,14.41,49673.0,995.0,86.0
94,79.0,48.0,154.0,5.0,0.51,60.0,90.0,5.0,3.0,3.0,3.22,96860.0,862.0,86.0
90,50.0,95.0,30911.0,10.0,1.52,81.0,85.0,9.0,7.0,6.0,14.68,52156.0,1010.0,95.0
100,78.0,47.0,157.0,5.0,0.51,61.0,90.0,5.0,4.0,4.0,2.77,100871.0,847.0,90.0
88,50.0,96.0,40050.0,11.0,1.53,80.0,90.0,7.0,8.0,7.0,15.25,50106.0,1088.0,96.0
99,81.0,52.0,242.0,5.0,0.51,60.0,90.0,5.0,4.0,4.0,3.14,103063.0,782.0,88.0
85,48.0,93.0,29304.0,11.0,1.38,81.0,83.0,9.0,7.0,6.0,15.11,51095.0,966.0,93.0
100,82.0,53.0,291.0,5.0,0.5,60.0,93.0,5.0,4.0,4.0,2.81,97201.0,880.0,85.0
87,47.0,97.0,33532.0,10.0,1.52,82.0,91.0,7.0,8.0,7.0,14.4,51174.0,959.0,97.0
97,76.0,51.0,332.0,6.0,0.53,60.0,86.0,5.0,3.0,4.0,2.94,102220.0,740.0,84.0
92,48.0,99.0,42997.0,11.0,1.48,78.0,82.0,7.0,7.0,6.0,14.94,48860.0,978.0,86.0
96,78.0,50.0,197.0,5.0,0.47,61.0,83.0,5.0,4.0,4.0,3.87,96646.0,743.0,87.0
90,49.0,94.0,76964.0,10.0,1.46,75.0,82.0,9.0,7.0,7.0,14.65,49673.0,998.0,92.0
98,77.0,46.0,169.0,4.0,0.5,62.0,87.0,5.0,3.0,3.0,2.82,96624.0,825.0,90.0
